region,month_1,month_2,month_3,day_off,avalanche,danger_level,nedbor,vind_styrke,temperatur_mean,aval_probability_id_0,aval_probability_id_3,aval_probability_id_5,aval_probability_id_7,aval_probability_id_10,aval_probability_id_30,aval_probability_id_45,aval_probability_id_50
3003,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.14285714285714285,0.2021276595744681,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
3006,0.0,0.0,1.0,0.0,0.0,0.75,0.022222222222222223,0.2857142857142857,0.4574468085106383,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3007,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.43617021276595747,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
3009,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.4787234042553191,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3010,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.5212765957446808,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3011,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.5638297872340425,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3012,0.0,0.0,1.0,0.0,0.0,0.5,0.05555555555555556,0.2857142857142857,0.5957446808510638,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3013,0.0,0.0,1.0,0.0,0.0,0.5,0.022222222222222223,0.2857142857142857,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3014,0.0,0.0,1.0,0.0,0.0,0.5,0.08888888888888889,0.2857142857142857,0.6382978723404256,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3015,0.0,0.0,1.0,0.0,0.0,0.75,0.11111111111111112,0.2857142857142857,0.5638297872340425,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3016,0.0,0.0,1.0,0.0,0.0,0.75,0.13333333333333333,0.2857142857142857,0.5851063829787234,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3017,0.0,0.0,1.0,0.0,0.0,0.75,0.22222222222222224,0.42857142857142855,0.5957446808510638,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3022,0.0,0.0,1.0,0.0,0.0,0.5,0.011111111111111112,0.5714285714285714,0.5744680851063829,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3023,0.0,0.0,1.0,0.0,0.0,0.5,0.044444444444444446,0.5714285714285714,0.5851063829787234,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3024,0.0,0.0,1.0,0.0,0.0,0.75,0.08888888888888889,0.5714285714285714,0.5957446808510638,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3027,0.0,0.0,1.0,0.0,0.0,0.75,0.22222222222222224,0.5714285714285714,0.5957446808510638,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3028,0.0,0.0,1.0,0.0,0.0,0.5,0.05555555555555556,0.7142857142857142,0.5425531914893617,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
3029,0.0,0.0,1.0,0.0,0.0,0.75,0.13333333333333333,0.5714285714285714,0.5851063829787234,0.0,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,0.0
3031,0.0,0.0,1.0,0.0,0.0,0.75,0.22222222222222224,0.5714285714285714,0.6276595744680851,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3032,0.0,0.0,1.0,0.0,0.0,0.5,0.011111111111111112,0.5714285714285714,0.5744680851063829,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3034,0.0,0.0,1.0,0.0,0.0,0.75,0.16666666666666669,0.5714285714285714,0.5957446808510638,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3035,0.0,0.0,1.0,0.0,0.0,0.75,0.011111111111111112,0.42857142857142855,0.6276595744680851,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3037,0.0,0.0,1.0,0.0,0.0,0.75,0.13333333333333333,0.42857142857142855,0.6382978723404256,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
