region,month_1,month_2,month_3,day_off,avalanche,danger_level,nedbor,vind_styrke,temperatur_mean,aval_probability_id_0,aval_probability_id_3,aval_probability_id_5,aval_probability_id_7,aval_probability_id_10,aval_probability_id_30,aval_probability_id_45,aval_probability_id_50
3003,0.0,1.0,1.0,1.0,0.0,0.25,0.0,0.14285714285714285,0.17021276595744683,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0
3006,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.14285714285714285,0.43617021276595747,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3007,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.2857142857142857,0.4574468085106383,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3009,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.2857142857142857,0.4148936170212766,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3010,0.0,1.0,1.0,1.0,0.0,0.5,0.05555555555555556,0.2857142857142857,0.4574468085106383,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3011,0.0,1.0,1.0,1.0,1.0,0.5,0.05555555555555556,0.14285714285714285,0.5319148936170213,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3012,0.0,1.0,1.0,1.0,0.0,0.75,0.05555555555555556,0.14285714285714285,0.5106382978723404,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3013,0.0,1.0,1.0,1.0,1.0,0.5,0.011111111111111112,0.14285714285714285,0.40425531914893614,0.0,0.0,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0
3014,0.0,1.0,1.0,1.0,0.0,0.75,0.05555555555555556,0.14285714285714285,0.5319148936170213,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3015,0.0,1.0,1.0,1.0,0.0,0.5,0.011111111111111112,0.14285714285714285,0.40425531914893614,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3016,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.14285714285714285,0.40425531914893614,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3017,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.14285714285714285,0.3829787234042553,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
3022,0.0,1.0,1.0,1.0,0.0,0.5,0.03333333333333333,0.5714285714285714,0.48936170212765956,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3023,0.0,1.0,1.0,1.0,0.0,0.5,0.011111111111111112,0.5714285714285714,0.5212765957446808,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3024,0.0,1.0,1.0,1.0,0.0,0.75,0.011111111111111112,0.5714285714285714,0.5425531914893617,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3027,0.0,1.0,1.0,1.0,0.0,0.75,0.03333333333333333,0.5714285714285714,0.5638297872340425,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
3028,0.0,1.0,1.0,1.0,0.0,0.5,0.11111111111111112,0.5714285714285714,0.46808510638297873,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
3029,0.0,1.0,1.0,1.0,0.0,0.75,0.08888888888888889,0.5714285714285714,0.5212765957446808,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3031,0.0,1.0,1.0,1.0,0.0,0.75,0.08888888888888889,0.2857142857142857,0.6063829787234043,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3032,0.0,1.0,1.0,1.0,0.0,0.5,0.11111111111111112,0.2857142857142857,0.5212765957446808,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
3034,0.0,1.0,1.0,1.0,0.0,0.75,0.11111111111111112,0.2857142857142857,0.5425531914893617,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3035,0.0,1.0,1.0,1.0,1.0,0.75,0.13333333333333333,0.2857142857142857,0.5957446808510638,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
3037,0.0,1.0,1.0,1.0,0.0,0.75,0.22222222222222224,0.2857142857142857,0.6063829787234043,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
